text,intent,sentiment
I was charged 30 for Prepaid Basic in the USA .,billing,neutral
I was charged 30 for Prepaid Basic in the USA.,billing,neutral
Why is my bill 50 for Prepaid Plus?,billing,neutral
Why is my bill 50 for Prepaid Plus ?,billing,neutral
I think I was incorrectly billed for Postpaid Gold this month .,billing,neutral
I think I was billed incorrectly for Postpaid Gold this month .,billing,neutral
I was charged 120 for ZENDFiber 100 Mbps in Thailand .,billing,neutral
I was charged 120 for ZENDFiber 100 Mbps in Thailand.,billing,neutral
Why is my bill 200 for ZENDFiber 1 Gbps ?,billing,neutral
Why is my bill 200 for ZENDFiber 1 Gbps?,billing,neutral
I think I was incorrectly billed for ZENDCloud VM Pro this month .,billing,neutral
I think I was billed incorrectly for ZENDCloud VM Pro this month .,billing,neutral
I was charged 50 for ZENDStorage 1TB in Singapore.,billing,neutral
I was charged 50 for ZENDStorage 1TB in Singapore .,billing,neutral
Why is my bill 80 for ZENDFleet IoT?,billing,neutral
Why is my bill 80 for ZENDFleet IoT ?,billing,neutral
I think I was incorrectly billed for Prepaid Basic this month .,billing,neutral
I think I was billed incorrectly for Prepaid Basic this month .,billing,neutral
I was charged 200 for Prepaid Plus in India.,billing,neutral
I was charged 200 for Prepaid Plus in India .,billing,neutral
Why is my bill 30 for Postpaid Gold?,billing,neutral
Why is my bill 30 for postpaid gold?,billing,neutral
I think I was incorrectly billed for ZENDFiber 100 Mbps this month .,billing,neutral
I think I was billed incorrectly for ZENDFiber 100 Mbps this month .,billing,neutral
I was charged 80 for ZENDFiber 1 Gbps in the USA .,billing,neutral
I was charged 80 for ZENDFiber 1 Gbps in the USA.,billing,neutral
Why is my bill 120 for ZENDCloud VM Pro?,billing,neutral
Why is my bill 120 for ZENDCloud VM Pro ?,billing,neutral
I think I was incorrectly billed for ZENDStorage 1TB this month .,billing,neutral
I think I was billed incorrectly for ZENDStorage 1TB this month .,billing,neutral
I was charged 30 for ZENDFleet IoT in Thailand .,billing,neutral
I was charged 30 for ZENDFleet IoT in Thailand.,billing,neutral
Why is my bill 50 for prepaid basic?,billing,neutral
Why is my bill 50 for Prepaid Basic?,billing,neutral
I think I was incorrectly billed for Prepaid Plus this month .,billing,neutral
I think I was billed incorrectly for Prepaid Plus this month .,billing,neutral
I was charged 120 for Postpaid Gold in Singapore.,billing,neutral
I was charged 120 for Postpaid Gold in Singapore .,billing,neutral
Why is my bill 200 for ZENDFiber 100 Mbps ?,billing,neutral
Why is my bill 200 for ZENDFiber 100 Mbps?,billing,neutral
I think I was incorrectly billed for ZENDFiber 1 Gbps this month .,billing,neutral
I think I was billed incorrectly for ZENDFiber 1 Gbps this month .,billing,neutral
I was charged 50 for ZENDCloud VM Pro in India .,billing,neutral
I was charged 50 for ZENDCloud VM Pro in India.,billing,neutral
Why is my bill 80 for ZENDStorage 1TB?,billing,neutral
Why is my bill 80 for ZENDStorage 1TB ?,billing,neutral
I think I was incorrectly billed for ZENDFleet IoT this month .,billing,neutral
I think I was billed incorrectly for ZENDFleet IoT this month .,billing,neutral
I was charged 200 for Prepaid Basic in the USA .,billing,neutral
I was charged 200 for prepaid basic in the USA .,billing,neutral
Why is my bill 30 for Prepaid Plus?,billing,neutral
Why is my bill 30 for Prepaid Plus ?,billing,neutral
I think I was incorrectly billed for Postpaid Gold this month .,billing,neutral
I think I was billed incorrectly for Postpaid Gold this month .,billing,neutral
I was charged 80 for ZENDFiber 100 Mbps in Thailand .,billing,neutral
I was charged 80 for ZENDFiber 100 Mbps in Thailand.,billing,neutral
Why is my bill 120 for ZENDFiber 1 Gbps?,billing,neutral
Why is my bill 120 for ZENDFiber 1 Gbps ?,billing,neutral
I think I was incorrectly billed for ZENDCloud VM Pro this month .,billing,neutral
I think I was billed incorrectly for ZENDCloud VM Pro this month .,billing,neutral
I was charged 30 for ZENDStorage 1TB in Singapore.,billing,neutral
I was charged 30 for ZENDStorage 1TB in Singapore .,billing,neutral
Why is my bill 50 for ZENDFleet IoT?,billing,neutral
Why is my bill 50 for ZENDFleet IoT ?,billing,neutral
I think I was incorrectly billed for Prepaid Basic this month .,billing,neutral
I think I was billed incorrectly for Prepaid Basic this month .,billing,neutral
I was charged 120 for Prepaid Plus in India.,billing,neutral
I was charged 120 for Prepaid Plus in India .,billing,neutral
Why is my bill 200 for Postpaid Gold?,billing,neutral
Why is my bill 200 for postpaid gold?,billing,neutral
I think I was incorrectly billed for ZENDFiber 100 Mbps this month .,billing,neutral
I think I was billed incorrectly for ZENDFiber 100 Mbps this month .,billing,neutral
I was charged 50 for ZENDFiber 1 Gbps in the USA .,billing,neutral
I was charged 50 for ZENDFiber 1 Gbps in the USA.,billing,neutral
Why is my bill 80 for ZENDCloud VM Pro?,billing,neutral
Why is my bill 80 for ZENDCloud VM Pro ?,billing,neutral
I think I was incorrectly billed for ZENDStorage 1TB this month .,billing,neutral
I think I was billed incorrectly for ZENDStorage 1TB this month .,billing,neutral
I was charged 200 for ZENDFleet IoT in Thailand .,billing,neutral
I was charged 200 for ZENDFleet IoT in Thailand.,billing,neutral
Why is my bill 30 for prepaid basic?,billing,neutral
Why is my bill 30 for Prepaid Basic?,billing,neutral
I think I was incorrectly billed for Prepaid Plus this month .,billing,neutral
I think I was billed incorrectly for Prepaid Plus this month .,billing,neutral
I was charged 80 for Postpaid Gold in Singapore.,billing,neutral
I was charged 80 for Postpaid Gold in Singapore .,billing,neutral
Why is my bill 120 for ZENDFiber 100 Mbps?,billing,neutral
Why is my bill 120 for ZENDFiber 100 Mbps ?,billing,neutral
I think I was incorrectly billed for ZENDFiber 1 Gbps this month .,billing,neutral
I think I was billed incorrectly for ZENDFiber 1 Gbps this month .,billing,neutral
I was charged 30 for ZENDCloud VM Pro in India .,billing,neutral
I was charged 30 for ZENDCloud VM Pro in India.,billing,neutral
Why is my bill 50 for ZENDStorage 1TB?,billing,neutral
Why is my bill 50 for ZENDStorage 1TB ?,billing,neutral
I think I was incorrectly billed for ZENDFleet IoT this month .,billing,neutral
I think I was billed incorrectly for ZENDFleet IoT this month .,billing,neutral
I was charged 120 for Prepaid Basic in the USA .,billing,neutral
I was charged 120 for prepaid basic in the USA .,billing,neutral
Why is my bill 200 for Prepaid Plus?,billing,neutral
Why is my bill 200 for Prepaid Plus ?,billing,neutral
I think I was incorrectly billed for Postpaid Gold this month .,billing,neutral
I think I was billed incorrectly for Postpaid Gold this month .,billing,neutral
I was charged 50 for ZENDFiber 100 Mbps in Thailand .,billing,neutral
I was charged 50 for ZENDFiber 100 Mbps in Thailand.,billing,neutral
Why is my bill 80 for ZENDFiber 1 Gbps?,billing,neutral
Why is my bill 80 for ZENDFiber 1 Gbps ?,billing,neutral
I think I was incorrectly billed for ZENDCloud VM Pro this month .,billing,neutral
I think I was billed incorrectly for ZENDCloud VM Pro this month .,billing,neutral
I was charged 200 for ZENDStorage 1TB in Singapore .,billing,neutral
I was charged 200 for ZENDStorage 1TB in Singapore.,billing,neutral
Why is my bill 30 for ZENDFleet IoT?,billing,neutral
Why is my bill 30 for ZENDFleet IoT ?,billing,neutral
I think I was incorrectly billed for Prepaid Basic this month .,billing,neutral
I think I was billed incorrectly for Prepaid Basic this month .,billing,neutral
I was charged 80 for Prepaid Plus in India.,billing,neutral
I was charged 80 for Prepaid Plus in India .,billing,neutral
Why is my bill 120 for Postpaid Gold?,billing,neutral
Why is my bill 120 for postpaid gold?,billing,neutral
I think I was incorrectly billed for ZENDFiber 100 Mbps this month .,billing,neutral
I think I was billed incorrectly for ZENDFiber 100 Mbps this month .,billing,neutral
I was charged 30 for ZENDFiber 1 Gbps in the USA .,billing,neutral
